Region/Country/Area,Year,Series,Value,Footnotes,Source
Indonesia,2005,Gross enrollment ratio - Upper secondary level (female),46.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2010,Students enrolled in primary education (thousands),"30,342",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2010,Gross enrollment ratio - Primary (male),107.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2010,Gross enrollment ratio - Primary (female),111,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2010,Students enrolled in secondary education (thousands),"19,976",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2010,Gross enrollment ratio - Secondary (male),76.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2010,Gross enrollment ratio - Secondary (female),76.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2010,Students enrolled in upper secondary education (thousands),"8,179",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2010,Gross enrollment ratio - Upper secondary level (male),64.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2010,Gross enrollment ratio - Upper secondary level (female),63.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2015,Students enrolled in primary education (thousands),"29,700",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2015,Gross enrollment ratio - Primary (male),107.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2015,Gross enrollment ratio - Primary (female),104.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2015,Students enrolled in secondary education (thousands),"23,756",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2015,Gross enrollment ratio - Secondary (male),86,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2015,Gross enrollment ratio - Secondary (female),86.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2015,Students enrolled in upper secondary education (thousands),"10,356",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2015,Gross enrollment ratio - Upper secondary level (male),77.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2015,Gross enrollment ratio - Upper secondary level (female),74.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2018,Students enrolled in primary education (thousands),"29,426",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2018,Gross enrollment ratio - Primary (male),108.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2018,Gross enrollment ratio - Primary (female),104.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2018,Students enrolled in secondary education (thousands),"24,894",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2018,Gross enrollment ratio - Secondary (male),87.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2018,Gross enrollment ratio - Secondary (female),90,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2018,Students enrolled in upper secondary education (thousands),"11,174",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2018,Gross enrollment ratio - Upper secondary level (male),78.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2018,Gross enrollment ratio - Upper secondary level (female),81.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2005,Students enrolled in primary education (thousands),891,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2005,Gross enrollment ratio - Primary (male),120.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2005,Gross enrollment ratio - Primary (female),104.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2005,Students enrolled in secondary education (thousands),394,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2005,Gross enrollment ratio - Secondary (male),49.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2005,Gross enrollment ratio - Secondary (female),37.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2005,Students enrolled in upper secondary education (thousands),150,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2005,Gross enrollment ratio - Upper secondary level (male),40.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2005,Gross enrollment ratio - Upper secondary level (female),28.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2010,Students enrolled in primary education (thousands),916,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2010,Gross enrollment ratio - Primary (male),128.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2010,Gross enrollment ratio - Primary (female),117.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2010,Students enrolled in secondary education (thousands),435,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2010,Gross enrollment ratio - Secondary (male),51.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2010,Gross enrollment ratio - Secondary (female),42.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2010,Students enrolled in upper secondary education (thousands),99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2010,Gross enrollment ratio - Upper secondary level (male),35.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2010,Gross enrollment ratio - Upper secondary level (female),28.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2015,Students enrolled in primary education (thousands),850,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2015,Gross enrollment ratio - Primary (male),116.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2015,Gross enrollment ratio - Primary (female),111.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2015,Students enrolled in secondary education (thousands),640,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2015,Gross enrollment ratio - Secondary (male),66.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2015,Gross enrollment ratio - Secondary (female),60.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2015,Students enrolled in upper secondary education (thousands),196,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2015,Gross enrollment ratio - Upper secondary level (male),47.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2015,Gross enrollment ratio - Upper secondary level (female),42.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2019,Students enrolled in primary education (thousands),771,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2019,Gross enrollment ratio - Primary (male),101.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2019,Gross enrollment ratio - Primary (female),98.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2019,Students enrolled in secondary education (thousands),666,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2019,Gross enrollment ratio - Secondary (male),67.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2019,Gross enrollment ratio - Secondary (female),63.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2019,Students enrolled in upper secondary education (thousands),222,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2019,Gross enrollment ratio - Upper secondary level (male),55.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Lao People's Dem. Rep.,2019,Gross enrollment ratio - Upper secondary level (female),49.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2005,Students enrolled in primary education (thousands),"3,202",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2005,Gross enrollment ratio - Primary (male),100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2005,Gross enrollment ratio - Primary (female),100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2005,Students enrolled in secondary education (thousands),"2,489",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2005,Gross enrollment ratio - Secondary (male),76.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2005,Gross enrollment ratio - Secondary (female),84.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2005,Students enrolled in upper secondary education (thousands),"1,066",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2005,Gross enrollment ratio - Upper secondary level (male),62,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2005,Gross enrollment ratio - Upper secondary level (female),75.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2010,Students enrolled in primary education (thousands),"3,234",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2010,Gross enrollment ratio - Primary (male),99.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2010,Gross enrollment ratio - Primary (female),100.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2010,Students enrolled in secondary education (thousands),"2,616",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2010,Gross enrollment ratio - Secondary (male),74.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2010,Gross enrollment ratio - Secondary (female),80.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2010,Students enrolled in upper secondary education (thousands),"1,099",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2010,Gross enrollment ratio - Upper secondary level (male),60.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2010,Gross enrollment ratio - Upper secondary level (female),70,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2015,Students enrolled in primary education (thousands),"3,108",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2015,Gross enrollment ratio - Primary (male),103.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2015,Gross enrollment ratio - Primary (female),104.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2015,Students enrolled in secondary education (thousands),"2,801",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2015,Gross enrollment ratio - Secondary (male),81.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2015,Gross enrollment ratio - Secondary (female),88.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2015,Students enrolled in upper secondary education (thousands),"1,369",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2015,Gross enrollment ratio - Upper secondary level (male),76.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2015,Gross enrollment ratio - Upper secondary level (female),86.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2017,Students enrolled in primary education (thousands),"3,085",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2017,Gross enrollment ratio - Primary (male),104.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2017,Gross enrollment ratio - Primary (female),106,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2017,Students enrolled in secondary education (thousands),"2,745",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2017,Gross enrollment ratio - Secondary (male),83.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2017,Gross enrollment ratio - Secondary (female),88,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2017,Students enrolled in upper secondary education (thousands),"1,365",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2017,Gross enrollment ratio - Upper secondary level (male),79.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2017,Gross enrollment ratio - Upper secondary level (female),86.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2019,Students enrolled in secondary education (thousands),"2,602",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2019,Gross enrollment ratio - Secondary (male),80.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2019,Gross enrollment ratio - Secondary (female),87,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2019,Students enrolled in upper secondary education (thousands),"1,257",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2019,Gross enrollment ratio - Upper secondary level (male),73.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Malaysia,2019,Gross enrollment ratio - Upper secondary level (female),83.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2005,Students enrolled in primary education (thousands),"4,948",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2005,Gross enrollment ratio - Primary (male),98.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2005,Gross enrollment ratio - Primary (female),98.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2005,Students enrolled in secondary education (thousands),"2,589",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2005,Gross enrollment ratio - Secondary (male),45.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2005,Gross enrollment ratio - Secondary (female),43.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2005,Students enrolled in upper secondary education (thousands),651,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2005,Gross enrollment ratio - Upper secondary level (male),33.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2005,Gross enrollment ratio - Upper secondary level (female),33.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2010,Students enrolled in primary education (thousands),"5,126",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2010,Gross enrollment ratio - Primary (male),98.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2010,Gross enrollment ratio - Primary (female),97.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2010,Students enrolled in secondary education (thousands),"2,852",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2010,Gross enrollment ratio - Secondary (male),47.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2010,Gross enrollment ratio - Secondary (female),49.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2010,Students enrolled in upper secondary education (thousands),674,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2010,Gross enrollment ratio - Upper secondary level (male),33.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2010,Gross enrollment ratio - Upper secondary level (female),36.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2014,Students enrolled in primary education (thousands),"5,177",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2014,Gross enrollment ratio - Primary (male),103.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2014,Gross enrollment ratio - Primary (female),100.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2014,Students enrolled in secondary education (thousands),"3,191",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2014,Gross enrollment ratio - Secondary (male),51.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2014,Gross enrollment ratio - Secondary (female),52.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2014,Students enrolled in upper secondary education (thousands),689,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2014,Gross enrollment ratio - Upper secondary level (male),32.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2014,Gross enrollment ratio - Upper secondary level (female),36.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2018,Students enrolled in primary education (thousands),"5,300",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2018,Gross enrollment ratio - Primary (male),114.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2018,Gross enrollment ratio - Primary (female),109.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2018,Students enrolled in secondary education (thousands),"4,187",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Myanmar,2018,Gross enrollment ratio - Secondary (male),65.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
